scenario_code,version_number,effective_from,effective_to,status,created_by,approved_by,justification,parameters_json
STRUCTURING,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial BSA/AML structuring rule baseline using a 14-day lookback.,"{""min_txn_amount"":7000,""max_txn_amount"":9999,""min_count"":4,""window_days"":14}"
STRUCTURING,2,2025-11-11,,active,henry.morgan,james.carter,Retuned after false-positive review; current version uses a tighter 10-day window and lower count threshold.,"{""min_txn_amount"":8000,""max_txn_amount"":9999,""min_count"":3,""window_days"":10,""threshold_change_reason"":""Reduced window from 14 to 10 days based on FP analysis""}"
HIGH_RISK_COUNTRY,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial high-risk jurisdiction monitoring baseline aligned to FinCEN country-risk procedures.,"{""min_amount"":10000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true}"
HIGH_RISK_COUNTRY,2,2025-11-11,,active,henry.morgan,james.carter,Retuned to capture lower-value wires involving FATF grey-list and OFAC-sanctioned jurisdictions.,"{""min_amount"":5000,""risk_tier"":""high"",""include_fatf_grey"":true,""include_ofac_countries"":true}"
WATCHLIST_HIT,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial watchlist screening threshold focused on high-confidence counterparty matches.,"{""min_match_score"":90,""screen_counterparties"":true,""screen_beneficial_owners"":false}"
WATCHLIST_HIT,2,2025-11-11,,active,henry.morgan,james.carter,Retuned to include beneficial-owner screening and lower the match-score threshold to 85.,"{""min_match_score"":85,""screen_counterparties"":true,""screen_beneficial_owners"":true}"
CASH_INTENSIVE,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial cash-intensive business rule based on historical branch cash activity.,"{""weekly_threshold"":20000,""monthly_threshold"":65000,""lookback_days"":30}"
CASH_INTENSIVE,2,2025-11-11,,active,henry.morgan,james.carter,Retuned after branch cash-activity analysis to capture weekly and monthly cash spikes earlier.,"{""weekly_threshold"":15000,""monthly_threshold"":50000,""lookback_days"":30}"
RAPID_MOVEMENT,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial rapid movement rule focused on large pass-through activity within 72 hours.,"{""min_inflow"":75000,""outflow_pct"":90,""window_hours"":72}"
RAPID_MOVEMENT,2,2025-11-11,,active,henry.morgan,james.carter,Retuned to capture faster pass-through behavior within 48 hours and lower inflow thresholds.,"{""min_inflow"":50000,""outflow_pct"":85,""window_hours"":48}"
TRADE_BASED_ML,1,2024-11-11,2025-11-11,retired,henry.morgan,james.carter,Initial trade-based money laundering rule based on invoice-value variance and jurisdiction risk.,"{""invoice_mismatch_pct"":25,""min_transaction_amount"":15000,""multi_jurisdiction"":true}"
TRADE_BASED_ML,2,2025-11-11,,active,henry.morgan,james.carter,Retuned to capture invoice mismatch above 20 percent on multi-jurisdiction trade transactions.,"{""invoice_mismatch_pct"":20,""min_transaction_amount"":10000,""multi_jurisdiction"":true}"
